HolderAddress,Balance,Airdrop
0x2e1e9e1ffc7d428bc0a696c231482d45adc1e6d1,60.03675563,0.600367556
0x953e59ed0991513f716bc3f3696f74a1f92a7776,59.16893201,0.59168932
0x2975ac8c94c7a4412ed9542a3c3d99a4e7d6b6f5,57.06364093,0.570636409
0x93a014f62afd42f573d2249729f62cd7f05e0ee7,56.46162629,0.564616263
0x701583bd2b9c17f2c347f210b2931ea409959ee7,56.33066218,0.563306622
0x24c038d66e0e216d23a2b54060ed1f4483ec25aa,55.673808,0.55673808
0xd3db59633fe61052414655a924d6b0e0ee9a30e6,55.60334297,0.55603343
0xc7e2753cc827ad0df46dc89f65a482b1ac2e4b6b,55.31798256,0.553179826
0xc3f1c1d9423febfaa7657ef87e6ab6d3a834fffc,54.67519505,0.546751951
0x99bdd6fc124ade9ebb786d1d0677290b00b3ac9f,54.49475609,0.544947561
0xb224164fecad80dd68aeb5b870a5f6fb73d1c4c7,54.28977085,0.542897708
0x149988193564526543a2189b833b262c5727ea2c,51.95738889,0.519573889
0x12944b6a32d4460cf18d806469f54b270440f015,51.95177139,0.519517714
0xa706be1d595d27640e27b987d814bdc9514eed6c,51.22467744,0.512246774
0x0935283a31be117f5cb9dbaf837c04a367032192,51.07925238,0.510792524
0xc8fdca15b5518a37819f6c1ae2df9e42692ec8e1,51.01154256,0.510115426
0x070f3eda0b77f2558de066e795e6dc4da204db4f,50.68776413,0.506877641
0x1146833fea1e1b946bd1af0edcd1397ef89bc063,50.46540244,0.504654024
0x64dc2644de1eae730b64132248d6b1b780ad0a53,50.11093975,0.501109397
0x72c10542c6101eaae96bd8a9785728231764586a,50.011467,0.50011467
0x40d228ce6df026fd1f9822acefa8d69cca24c58c,50.00056372,0.500005637
0xb80028478304919445ca77e549fd00afb28c7d52,50,0.5
0x6f88fd7a6444811e7e1feeb87360d99cff858a75,49.17192555,0.491719255
0x9d2af0cee59f76d3ed160443f65e54d456c93b87,48.07512359,0.480751236
0x17ada2f1b10d4ba3b797857a4c84b2bb2b0cc745,46.87856288,0.468785629
0x47260c109f3877e734af5f6fa9fb8a4c8b21a71e,45.32419974,0.453241997
0xa951c0eb85864f90e06a42911423f8abfed9d3d6,45.00007321,0.450000732
0x2132ba1dfe87ee080974b9f6209c74f4975c220d,44.9769054,0.449769054
0x3bfa7e33042611523b83235b66a1b3d0a12ae58f,44.526883,0.44526883
0x4a707e3f37aa47a931ee1336a0aefc8fd42c2e6d,44.22598257,0.442259826
0x170848a1ea879a066fb81f021d11e8ab8193cff0,43.61466461,0.436146646
0xd8a32aa5fe9d38cd66249cc1524930eb982c629a,43.28518269,0.432851827
